#,Temp,Pressure,Backflow
185,-1.73%,-1.06%,30.83%
235,0.13%,-1.04%,-19.32%
223,-0.06%,-1.03%,-10.99%
862,0.06%,-1.03%,-15.91%
643,-1.56%,-1.02%,34.25%
86,-0.24%,-1.02%,-17.45%
80,0.32%,-1.01%,-31.81%
745,-0.06%,-1.01%,-8.21%
311,-0.90%,-1.01%,18.84%
748,0.02%,-1.01%,-14.35%
999,-0.48%,-1.00%,63.84%
835,-0.24%,-0.98%,-2.85%
976,1.39%,-0.98%,-11.24%
746,0.14%,-0.96%,-7.14%
200,0.27%,-0.96%,-11.15%
275,0.28%,-0.94%,6.92%
43,0.39%,-0.94%,-22.03%
523,-0.38%,-0.93%,-5.10%
915,-0.29%,-0.93%,1.35%
971,-0.66%,-0.91%,-10.46%
249,0.05%,-0.91%,-23.10%
115,-2.36%,-0.91%,-2.72%
140,3.31%,-0.91%,61.99%
694,0.14%,-0.90%,11.35%
195,0.42%,-0.89%,-13.62%
935,-0.12%,-0.89%,-14.32%
393,0.19%,-0.88%,-29.57%
920,0.67%,-0.88%,-6.86%
844,0.45%,-0.87%,-7.01%
179,1.02%,-0.86%,11.51%
848,0.25%,-0.86%,-9.30%
434,0.34%,-0.83%,-26.91%
963,0.12%,-0.83%,-8.50%
709,-0.58%,-0.82%,-5.32%
319,0.10%,-0.81%,-14.89%
138,2.42%,-0.81%,40.96%
729,0.52%,-0.80%,5.50%
331,0.60%,-0.79%,9.48%
480,0.69%,-0.79%,14.73%
663,0.23%,-0.79%,3.94%
3,0.11%,-0.78%,8.93%
269,-1.46%,-0.78%,-4.31%
952,-0.03%,-0.78%,-18.64%
926,0.44%,-0.78%,-9.39%
124,0.72%,-0.77%,0.23%
237,0.19%,-0.77%,-24.42%
335,0.18%,-0.76%,0.33%
938,0.18%,-0.75%,-18.56%
416,-0.77%,-0.75%,-24.94%
13,-1.40%,-0.75%,3.53%
609,-0.12%,-0.72%,-28.06%
220,-0.09%,-0.70%,-0.78%
145,2.64%,-0.68%,101.11%
815,-0.23%,-0.68%,-9.29%
925,0.07%,-0.68%,-9.48%
950,-0.06%,-0.67%,-8.91%
401,0.08%,-0.67%,-21.47%
307,0.89%,-0.67%,11.51%
342,0.38%,-0.66%,-4.12%
786,0.55%,-0.65%,-4.24%
628,-0.21%,-0.65%,-9.53%
353,-0.26%,-0.64%,14.08%
348,0.03%,-0.63%,7.29%
822,-0.09%,-0.63%,-17.23%
45,0.74%,-0.62%,-20.92%
983,-0.38%,-0.61%,-8.75%
734,-0.12%,-0.61%,-10.66%
11,0.37%,-0.61%,-7.08%
761,0.08%,-0.61%,-4.09%
495,0.44%,-0.60%,34.14%
860,0.23%,-0.60%,-17.46%
299,0.35%,-0.59%,10.62%
491,0.35%,-0.58%,35.39%
943,-0.08%,-0.56%,-22.03%
986,0.06%,-0.56%,-12.14%
305,-0.40%,-0.56%,37.89%
550,0.42%,-0.55%,-8.26%
465,-1.57%,-0.55%,-13.68%
959,0.28%,-0.54%,-16.55%
754,-0.37%,-0.53%,5.15%
968,0.15%,-0.51%,-19.74%
661,-0.27%,-0.51%,15.21%
363,0.03%,-0.50%,9.06%
464,-0.27%,-0.49%,67.66%
385,-0.18%,-0.49%,-26.90%
386,-0.09%,-0.49%,-30.01%
32,0.86%,-0.49%,8.29%
598,0.07%,-0.49%,-26.97%
902,0.54%,-0.48%,-3.34%
832,-0.56%,-0.48%,-3.01%
388,-0.12%,-0.46%,-32.04%
34,-0.77%,-0.46%,14.28%
409,0.40%,-0.45%,-30.13%
620,0.73%,-0.45%,-27.13%
900,0.19%,-0.44%,-2.93%
965,-0.09%,-0.44%,-19.39%
296,-1.77%,-0.42%,-14.70%
37,0.55%,-0.42%,-3.38%
779,0.06%,-0.41%,-11.28%
215,-0.09%,-0.41%,-15.40%
975,0.23%,-0.40%,-17.55%
240,0.22%,-0.39%,-20.58%
612,-0.09%,-0.38%,-27.97%
874,0.29%,-0.38%,-18.22%
221,-0.19%,-0.38%,3.32%
149,4.39%,-0.37%,164.34%
829,-0.07%,-0.37%,-10.52%
51,0.74%,-0.36%,-25.87%
92,2.43%,-0.35%,-16.71%
114,-1.60%,-0.34%,-10.78%
527,0.38%,-0.34%,-11.65%
113,2.07%,-0.34%,-13.35%
101,0.52%,-0.34%,-33.75%
219,0.19%,-0.33%,-7.47%
568,-0.01%,-0.32%,-17.94%
635,-0.05%,-0.32%,-6.38%
820,-0.09%,-0.32%,-16.14%
209,0.39%,-0.32%,-6.56%
877,0.01%,-0.28%,-10.86%
883,0.16%,-0.28%,-11.43%
933,0.49%,-0.28%,-18.03%
590,-0.70%,-0.27%,-15.61%
428,0.10%,-0.26%,-21.56%
797,-0.37%,-0.25%,3.27%
126,0.83%,-0.24%,-0.08%
214,-0.13%,-0.24%,-15.42%
243,-0.47%,-0.24%,-20.44%
253,-2.96%,-0.21%,-14.51%
176,0.24%,-0.21%,0.30%
87,0.76%,-0.19%,-23.65%
5,-0.28%,-0.18%,10.56%
834,-0.10%,-0.18%,-4.09%
549,0.11%,-0.16%,-5.08%
327,0.13%,-0.15%,-13.32%
265,-0.18%,-0.15%,-26.77%
453,0.25%,-0.15%,1.17%
424,0.20%,-0.14%,-29.35%
182,0.29%,-0.13%,9.67%
629,0.58%,-0.12%,-12.22%
814,-0.03%,-0.10%,-7.29%
967,0.19%,-0.09%,-20.86%
934,0.22%,-0.09%,-18.25%
738,0.49%,-0.09%,5.77%
315,0.42%,-0.08%,-12.89%
569,0.28%,-0.08%,-17.85%
619,0.67%,-0.08%,-30.47%
203,0.89%,-0.07%,-2.69%
255,0.34%,-0.07%,-10.00%
256,-2.20%,-0.07%,-13.01%
340,0.16%,-0.07%,2.98%
606,0.80%,-0.07%,-16.22%
626,0.45%,-0.06%,-10.10%
155,-4.88%,0.00%,279.22%
685,-3.36%,0.00%,172.22%
668,-1.38%,0.00%,44.51%
649,-0.24%,0.00%,28.87%
423,-0.19%,0.00%,-33.74%
433,-0.13%,0.00%,0.11%
377,0.08%,0.00%,-15.89%
558,0.09%,0.00%,-22.27%
542,0.46%,0.00%,2.03%
161,0.62%,0.00%,232.85%
349,0.72%,0.00%,6.99%
156,5.49%,0.00%,331.91%
460,1.90%,0.03%,49.96%
271,-1.13%,0.06%,2.28%
658,-0.25%,0.06%,10.00%
541,-0.27%,0.07%,-2.91%
230,0.52%,0.08%,-27.04%
229,0.18%,0.09%,-25.36%
901,0.80%,0.09%,-4.13%
650,-2.06%,0.09%,49.02%
857,-0.16%,0.10%,-16.34%
782,0.18%,0.10%,-6.94%
781,0.05%,0.10%,-6.60%
439,-0.18%,0.10%,-15.42%
60,0.45%,0.12%,-23.34%
581,0.46%,0.13%,-16.68%
207,-0.58%,0.13%,-3.40%
373,0.56%,0.16%,1.91%
245,-0.02%,0.16%,-18.09%
601,0.69%,0.17%,-30.40%
56,0.31%,0.17%,-26.70%
936,-0.07%,0.18%,-15.83%
671,0.81%,0.19%,40.99%
429,0.81%,0.19%,-24.40%
276,-0.42%,0.20%,-6.71%
770,0.17%,0.21%,-11.26%
960,-0.57%,0.21%,-9.44%
722,0.29%,0.21%,-6.82%
444,-0.10%,0.24%,-4.70%
672,1.16%,0.24%,20.51%
566,0.07%,0.25%,-11.60%
624,0.06%,0.25%,-17.62%
957,0.04%,0.26%,-19.83%
955,-0.21%,0.26%,-17.90%
741,0.32%,0.26%,8.27%
917,0.00%,0.27%,-7.00%
425,0.38%,0.27%,-31.73%
29,0.59%,0.27%,-6.33%
876,0.07%,0.28%,-12.61%
88,-1.35%,0.28%,-22.58%
853,-0.11%,0.29%,-11.66%
79,-0.43%,0.29%,-30.61%
880,-0.04%,0.29%,-10.36%
760,0.09%,0.29%,-6.30%
703,0.01%,0.30%,-3.66%
487,1.36%,0.30%,17.14%
596,-0.44%,0.31%,-27.58%
314,-0.12%,0.31%,-5.31%
211,-0.06%,0.32%,-12.72%
14,1.23%,0.32%,8.21%
790,-0.51%,0.33%,5.73%
636,0.51%,0.33%,-8.12%
338,-0.21%,0.34%,16.61%
916,-0.10%,0.35%,-2.96%
912,0.08%,0.35%,2.18%
76,0.54%,0.36%,-25.24%
