#,Temp,T Sort,Pressure,P Sort,Backflow,B Sort,Ave Sort,,Pressure,
720,-0.18%,296,-1.96%,175,-0.35%,616,362,,,
500,-1.54%,49,-3.08%,90,62.52%,949,363,,,
753,0.01%,462,-1.59%,213,-8.82%,423,366,,,
670,-1.30%,61,-2.74%,106,49.41%,933,367,,,
780,0.01%,464,-1.38%,251,-10.29%,386,367,,,
732,-0.05%,408,-1.52%,230,-7.25%,464,367,,,
463,-1.98%,28,-2.72%,108,98.40%,967,368,,,
424,0.20%,629,-0.14%,444,-29.35%,32,368,,,
136,-0.75%,116,-2.26%,147,24.80%,842,368,,,
804,-0.16%,301,-3.74%,60,8.98%,745,369,,,
832,-0.56%,145,-0.48%,397,-3.01%,565,369,,,
945,0.54%,825,-2.53%,126,-20.70%,157,369,,,
579,0.31%,701,-1.34%,256,-20.86%,153,370,,,
245,-0.02%,426,0.16%,488,-18.09%,197,370,,,
320,-0.92%,96,0.69%,590,-8.77%,425,370,,,
120,-0.02%,431,-2.74%,107,-2.88%,574,371,,,
484,-0.48%,171,-3.65%,64,31.87%,877,371,,,
547,0.03%,479,-1.80%,187,-7.85%,447,371,,,
28,-0.19%,284,-1.09%,301,-4.58%,531,372,,,
919,-0.54%,154,1.27%,660,-12.93%,304,373,,,
85,-2.06%,27,8.13%,946,-21.25%,146,373,,,
400,0.21%,630,-1.09%,305,-18.72%,184,373,,,
434,0.34%,720,-0.83%,339,-26.91%,61,373,,,
559,0.36%,728,-1.33%,260,-22.22%,133,374,,,
428,0.10%,550,-0.26%,430,-21.56%,141,374,,,
411,1.30%,961,-2.51%,127,-29.21%,35,374,,,
911,-0.13%,324,-1.46%,236,-3.17%,563,374,,,
689,-0.36%,198,-3.79%,58,29.15%,867,374,,,
936,-0.07%,385,0.18%,491,-15.83%,248,375,,,
268,-0.54%,152,-2.19%,154,19.76%,819,375,,,
977,0.23%,643,-1.70%,200,-14.14%,284,376,,,
362,-0.06%,399,-2.76%,105,0.23%,624,376,,,
65,-1.10%,76,7.21%,938,-23.19%,116,377,,,
50,0.01%,463,0.63%,576,-25.47%,94,378,,,
968,0.15%,576,-0.51%,388,-19.74%,169,378,,,
108,-0.72%,120,6.20%,922,-25.43%,95,379,,,
57,0.50%,807,-1.35%,254,-26.15%,77,379,,,
828,0.31%,700,-2.23%,151,-13.91%,287,379,,,
333,-0.24%,256,0.71%,594,-13.88%,289,380,,,
688,-0.30%,214,-3.62%,66,27.89%,860,380,,,
139,-2.89%,15,-1.71%,196,48.40%,929,380,,,
886,-0.37%,194,-2.28%,145,17.12%,803,381,,,
558,0.09%,545,0.00%,467,-22.27%,131,381,,,
533,0.02%,474,-1.75%,192,-6.75%,478,381,,,
659,-0.89%,99,-1.39%,249,15.84%,796,381,,,
938,0.18%,605,-0.75%,355,-18.56%,186,382,,,
835,-0.24%,254,-0.98%,319,-2.85%,576,383,,,
728,-0.11%,347,-3.32%,76,7.75%,726,383,,,
196,0.21%,635,-1.77%,190,-12.28%,326,384,,,
940,0.21%,634,-1.67%,205,-12.49%,315,385,,,
745,-0.06%,403,-1.01%,315,-8.21%,436,385,,,
276,-0.42%,181,0.20%,494,-6.71%,479,385,,,
957,0.04%,486,0.26%,502,-19.83%,167,385,,,
673,-0.24%,255,-4.06%,52,26.39%,849,385,,,
459,-0.52%,156,-2.65%,115,33.16%,886,386,,,
503,-2.99%,12,-1.78%,188,72.48%,959,386,,,
954,-0.04%,412,0.61%,571,-19.07%,177,387,,,
969,-0.39%,191,2.46%,770,-18.04%,199,387,,,
319,0.10%,553,-0.81%,342,-14.89%,266,387,,,
714,0.06%,510,-2.60%,119,-4.52%,534,388,,,
774,0.15%,577,-1.32%,264,-12.30%,325,389,,,
907,-0.20%,277,-1.68%,204,4.66%,685,389,,,
112,1.19%,953,-3.70%,62,-20.89%,152,389,,,
189,-0.11%,348,-7.08%,16,17.65%,805,390,,,
571,-0.17%,298,1.01%,631,-16.11%,241,390,,,
914,0.06%,511,-2.68%,112,-3.72%,549,391,,,
600,-0.16%,304,3.38%,835,-29.26%,34,391,,,
229,0.18%,601,0.09%,477,-25.36%,96,391,,,
409,0.40%,753,-0.45%,400,-30.13%,22,392,,,
765,0.03%,477,-1.29%,269,-8.69%,429,392,,,
830,0.12%,563,-2.88%,100,-5.47%,512,392,,,
343,0.00%,444,-3.00%,94,1.42%,638,392,,,
476,0.00%,443,1.59%,699,-29.20%,36,393,,,
89,0.44%,779,-2.64%,116,-14.23%,283,393,,,
535,-0.15%,319,-1.41%,244,-0.39%,615,393,,,
68,0.85%,919,-1.55%,223,-29.16%,37,393,,,
231,-0.04%,413,1.38%,669,-25.30%,97,393,,,
576,0.54%,826,-1.51%,231,-23.10%,122,393,,,
829,-0.07%,384,-0.37%,414,-10.52%,381,393,,,
356,-0.26%,242,-2.40%,136,17.02%,802,393,,,
580,0.81%,907,-2.62%,118,-20.77%,156,394,,,
574,0.04%,489,0.62%,574,-23.12%,120,394,,,
207,-0.58%,140,0.13%,486,-3.40%,557,394,,,
642,-0.15%,313,-5.79%,26,25.07%,844,394,,,
915,-0.29%,222,-0.93%,326,1.35%,637,395,,,
950,-0.06%,404,-0.67%,363,-8.91%,421,396,,,
692,-0.25%,249,-1.55%,222,7.10%,719,397,,,
277,-0.12%,338,1.82%,720,-22.18%,134,397,,,
201,0.45%,782,-3.72%,61,-11.39%,349,397,,,
271,-1.13%,71,0.06%,473,2.28%,649,398,,,
462,-2.06%,25,-1.58%,216,64.63%,952,398,,,
383,-0.51%,160,9.26%,960,-26.40%,75,398,,,
693,-0.28%,227,-1.74%,193,12.21%,778,399,,,
218,0.87%,924,-5.45%,31,-15.96%,244,400,,,
